把柄,痛处
地舆,地理
地域,地区
第一版,初版
颠倒,倒置
颠倒错乱,颠三倒四
颠倒黑白,颠倒是非
颠倒是非,颠倒黑白
颠覆,推翻
颠三倒四,颠倒错乱
典范,典型
典范,范例
典型,典范
典质,抵押
玷辱,玷污
玷污,玷辱
惦记,惦念
惦念,惦记
凋零,凋落
凋落,凋零
凋谢,凋零
碉堡,堡垒
雕琢,雕刻
吊民伐罪,除暴安良
吊销,撤消
吊唁,悼念
调处,调解
调剂,调解
调解,调停
调解,调剂
调理,调节
调皮,淘气
调皮,淘气
调皮,淘气
调停,调处
调整,调剂
掉包,偷换
跌宕,跌荡
跌宕放诞,跌荡
跌荡,跌宕放诞
跌荡放诞,跌宕
叮嘱,吩咐
顶撞,顶嘴
顶嘴,顶撞
鼎力,大力
鼎立,鼎峙
鼎峙,鼎立
订婚,定亲
订婚,订亲
订亲,订婚
定亲,订婚
东风,春风
冬风,北风
动人,动听
动身,出发
动听,动人
动员,发动
斗争,奋斗
逗弄,逗引
独出机杼,别出心裁
独具匠心,步人后尘
独身,单身
独身只身,单身
独有,独占
独占,独有
独占鳌头,夺得冠军
独自,单独
赌气,负气
赌咒,发誓
度过,渡过
渡过,度过
端详,打量
锻炼,锤炼
堆积,沉积
队伍,步队
对比,对照
对比,比较
对付,凑合
对抗,反抗
对立,对峙
对于,对
对照,对比
对峙,对立
敦促,催促
顿时,登时
多难,多灾
多灾,多难
哆嗦,发抖
夺得冠军,独占鳌头
夺取,篡夺
堕落,腐化
额定,额外
额外,额定
厄运,恶运
扼守,把守
恶感,反感
恶梦,噩梦
恶意,歹意
恶运,厄运
噩梦,恶梦
恩德,恩惠
恩典,恩惠
恩惠,恩情
恩惠,恩泽
恩情,恩惠
恩泽,恩惠膏泽
儿歌,童谣
而已,罢了
尔后,此后
耳背,耳尖
发呆,发愣
发动,动员
发奋,奋发
发愤,奋发
发还,发回
发慌,发窘
发回,发还
发窘,发慌
发觉,察觉
发觉,发现
发愣,发呆
发明,发现
发明,创造
发起,发动
发热,发烧
发烧,发热
发生,产生
发问,提问
发现,发明
发扬,发挥
发源,发祥
发作,发生
发作,发生
法宝,宝贝
法度,法式
法式,法度
法则,法令
法子,方法
翻滚,翻腾
翻开,打开
翻山越岭,跋山涉水
翻腾,翻滚
翻天覆地,天翻地覆
翻云覆雨,反复无常
凡人,常人
凡是,但凡
凡是,凡
烦闷,沉闷
烦琐,繁缛
烦琐,繁琐
繁华,繁荣
繁荣,繁华
繁衍,繁殖
繁杂,复杂
繁重,沉重
反常,变态
反复无常,出尔反尔
反感,恶感
反抗,对抗
反面,背面
反叛,反水
反水,反叛
反问,反诘
反响,反应
反应,反映
反应,反响
反映,反应
反作用,副作用
犯错,出错
犯法,犯罪
犯罪,犯法
泛论,畅谈
范畴,范围
范例,典范
范围,范畴
方便,便利
方法,方式
方法,办法
方式,方法
芳香,芬芳
防备,防范
防备,防御
防范,防备
防卫,防守
防御,防备
防御,防备
防止,避免
妨碍,妨害
妨害,妨碍
房东,房主
房主,房东
仿造,仿制
仿制,仿造
访古寻幽,探寻胜迹
访问,拜访
放荡,放纵
放荡不羁,倜傥不羁
放荡不羁,放荡任气
放荡任气,放荡不羁
放弃,废弃
放肆,放纵
放纵,放荡
放纵,放肆
飞奔,飞驰
飞驰,飞奔
飞翔,飞行
飞行,飞翔
飞扬,飞腾
飞跃,奔腾
非凡,不凡
非凡,不凡
菲敬,菲仪
菲仪,菲敬
肥美,肥沃
肥饶,肥沃
肥沃,肥饶
废除,废止
废料,废物
废品,成品
废弃,放弃
废物,废料
废止,废除
费劲,吃力
费力,费劲
费神,费心
费心,费神
费心,操心
分辨,辨别
分辨,分辩
分辩,辩白
分辩,分辨
分别,分辨
分别,分离
分红,分成
分离,分别
分配,调配
分歧,不合
分手,分别
分说,分辩
分摊,摊派
分外,分内
纷繁,纷纷
纷纷,纷纭
纷纭,纷纷
芬芳,芳香
焚杀,屠烧
粉墨登场,弹冠相庆
奋斗,斗争
奋发,发奋
愤恨,愤怒
丰产,丰收
丰登,丰收
丰富,丰盛
丰富,丰硕
丰厚,丰富
丰满,饱满
丰饶,富饶
丰盛,丰富
丰收,丰产
丰硕,丰富
风采,风度
风吹草动,打草惊蛇
风度,风采
风度,风姿
风高浪急,风号浪吼
风流,风骚
风马不接,风马牛不相及
风马牛不相及,风马不接
风靡一时,风行一时
风气,风尚
风骚,风流
风尚,风气
风声鹤唳,草木皆兵
风俗,风气
风闻,传闻
风云,风波
风韵,风度
风姿,风度
封闭,封锁
封锁,封闭
疯狂,猖狂
烽烟,烽火
蜂拥,簇拥
缝补,补缀
凤毛麟角,百里挑一
否定,否认
否认,否定
肤浅,浮浅
敷衍,搪塞
敷衍了事,草草了事
敷衍塞责,敷衍了事
扶病,抱病
扶持,搀扶
扶持,搀扶
拂尘,布掸子
服帖,帖服
浮浅,肤浅
幅员,版图
福气,福分
抚摸,抚摩
抚摩,抚摸
抚摩,抚摸
抚养,抚育
抚育,抚养
辅币,本币
辅助,帮助
辅佐,辅助
腐败,腐朽
腐败,腐烂
腐化,堕落
腐化,腐蚀
腐蚀,腐化
腐朽,腐败
负疚,抱歉
负气,赌气
附属,从属
复古,复旧
赴汤蹈火,出生入死
富饶,富裕
富余,充裕
富裕,富饶
富裕,充裕
富足,充裕
他人,别人
太平盛世,兵荒马乱
太平盛世,天下太平
泰然自若,处之泰然
泰然自若,泰然处之
贪婪,贪心
贪生怕死,从容就义
贪污腐化,贪赃枉法
贪心,贪婪
谈笑风生,谈笑自若
谈笑自若,谈笑风生
坦白,坦率
坦率,坦白
叹惋,叹惜
叹息,叹气
叹惜,叹惋
探究,探索
探亲,投亲
探求,探究
探听,打听
探问,探听
探寻胜迹,访古寻幽
探询,探听
搪塞,敷衍
逃窜,逃跑
逃之夭夭,抱头鼠窜
陶醉,沉醉
淘气,调皮
讨好,谄谀
讨论,探讨
特别,特殊
特地,特别
特地,特意
特地,特意
特点,特色
特色,特点
特殊,特别
特性,特征
特意,特地
特征,特点
疼痛,痛苦悲伤
腾跃,跳跃
腾云驾雾,腾云跨风
腾云跨风,腾云驾雾
誊写,抄写
提拔,提携
提倡,倡导
提防,防备
提示,提醒
提问,发问
提携,提拔
提心吊胆,胆战心惊
提醒,提示
提早,提前
题目,标题
体格,体魄
体魄,体格
体无完肤,遍体鳞伤
体系,体制
体恤,体贴
体制,体系
涕零,涕泣
涕泣,涕零
替代,替换
替换,调换
替换,替代
替人,替身
替身,替人
天边,天涯
天才,蠢才
天才横溢,才气纵横
天长日久,长年累月
天长日久,天长地久
天地之别,天壤之别
天翻地覆,翻天覆地
天分,天性
天赋,禀赋
天际,天涯
天南地北,天涯海角
天气,天色
天穹,苍穹
天壤之别,天地之别
天色,天气
天时,地利
天文,地理
天下升平,天下太平
天下太平,天下升平
天性,本性
天旋地转,天摇地动
天涯,天边
天涯海角,天南地北
天佑,天助
天灾人祸,天下大乱
天真烂漫,呆头呆脑
天职,本分
天诛地灭,不得善终
天助,天佑
添油加醋,添枝加叶
添油加醋,添枝接叶
添枝加叶,添油加醋
添枝接叶,添油加醋
田单,田契
田地,地步
田契,田单
恬淡,淡泊
恬澹,淡泊
恬然,泰然
甜美,甜蜜
甜蜜,甜美
挑拨,挑唆
挑拨离间,搬弄是非
挑唆,挑拨
挑衅,挑战
挑选,挑拣
挑战,挑衅
龆年,髫龄
蜩螗沸羹,虫鸣水沸
髫龄,龆年
贴心贴腹,推心置腹
铁证如山,铁案如山
帖服,服帖
听从,服从
听凭,听任
听其自然,听天由命
听其自然,听之任之
听任,放任
听之任之,听其自然
停车,泊车
停学,辍学
停止,停滞
停滞,停止
挺拔,挺立
挺拔伟岸,笔直粗壮
挺立,矗立
挺立,挺拔
铤而走险,逼上梁山
通风,透风
通情达理,不近人情
通途,天堑
通信,通讯
通讯,通信
同伴,错误
同出一脉,同宗同气
同窗,同学
同道,同志
同等,等同
同僚,同寅
同学,同窗
同一,统一
同寅,同僚
同志,同道
同舟共济,风雨同舟
同宗同气,同出一脉
童言无忌,百无禁忌
童谣,儿歌
童贞,处女
统一,同一
痛处,把柄
痛恨,仇恨
痛苦,疼痛
痛快,畅快
痛骂,大骂
偷盗,偷窃
偷换,掉包
偷窃,偷盗
投奔,投靠
投合,逢迎
投机,投契
投靠,投奔
投契,投机
投亲,探亲
透辟,透彻
透彻,透辟
透澈,澈底
透风,通风
透骨,彻骨
凸起,突出
突出,凸起
突破,冲破
突破,打破
突如其来,从天而降
图画,丹青
图书馆,藏书楼
徒托空言,托之空言
途径,道路
屠戮,屠杀
屠杀,屠戮
屠烧,焚杀
土崩瓦解,分崩离析
土人,土着土偶
土著,土人
团聚,团圆
团圆,团聚
推测,揣测
推崇,推重
推辞,推脱
推动,推进
推翻,颠覆
推荐,推举
推进,推动
推举,推荐
推求,推寻
推脱,推辞
推卸,推辞
推心置腹,贴心贴腹
推许,推重
推选,推荐
推寻,推求
推重,推许
颓废,颓丧
颓丧,颓废
退却,撤退
吞声忍气,不敢则声
托病,称疾
托辞,遁辞
托付,拜托
托之空言,徒托空言
拖沓,拖拉
拖拉,拖沓
脱胎换骨,本性难移
脱险,出险
妥当,妥善
妥善,妥当
妥帖,妥当
唾弃,鄙弃
成千盈百,成百上千
遍布,遍及
等闲视之,不屑一顾
逗引,逗弄
不卑不亢,不骄不躁
奔流,奔腾
沉积,堆积
穿梭,穿越
残害,摧残
苍白,惨白
错落,参差
跳跃,腾跃
辍学,停学
超常,超凡
停泊,停靠
胆小,胆怯
调节,调理
吃力,费劲
葱绿,翠绿
笔直粗壮,挺拔伟岸
透明,通明
天堑,通途
不禁,不由
本能,天性
不迭,不及
不请自来,不速之客
负责,担任
不仅,不只
才华出众,才华盖世
通顺,通畅
风号浪吼,风高浪急
挫折,波折
副作用,反作用
复线,单线
复数,单数
复课,停课
复刊,停刊
复旧,复古
复交,断交
复工,停工
福分,福气
服役,退役
风雨同舟,同舟共济
风行一时,风靡一时
风靡,风行
风波,风云
奋起直追,踌躇不前
分内,分外
分成,分红
分崩离析,土崩瓦解
飞腾,飞扬
放任,听任
防守,防卫
返航,出航
反馈,反应
反诘,反问
繁缛,烦琐
繁冗,繁杂
繁多,单一
翻新,创新
法令,法则
发祥,发源
发售,出售
耳尖,耳背
遁辞,托辞
敦厚,刁滑
对消,抵消
短暂,长久
短途,长途
短跑,长跑
短工,长工
短处,长处
督促,催促
动静,动态
动荡,动乱
叮咛,叮嘱
调唆,挑拨
调配,分配
雕刻,雕琢
凋敝,繁荣
递减,递加
递加,递减
地狱,天堂
抵制,抵抗
抵赖,承认
低声下气,低三下四
等同,同等
等内,等外
登程,出发
登场,退场
得失相当,得不偿失
捣毁,摧毁
倒退,发展
弹冠相庆,粉墨登场
胆战心惊,提心吊胆
胆大,胆小
贷款,存款
歹毒,恶毒
大巷,大街
大略,大概
大抵,大致
打探,刺探
打救,搭救
打草惊蛇,风吹草动
促成,促进
粗率,草率
从天而降,突如其来
从容,沉着
辞让,推让
蠢才,天才
唇齿相依,不共戴天
垂涎三尺,垂涎欲滴
吹牛,吹嘘
处之泰然,泰然自若
出师,班师
出击,反击
出航,返航
出尔反尔,反复无常
出奔,出走
愁眉不展,愁眉苦脸
冲破,突破
充耳不闻,不闻不问
痴呆,聪慧
成千上万,不计其数
称说,称呼
超群绝伦,出类拔萃
超过,超越
长跑,短跑
长年累月,天长日久
长命,长寿
拆除,撤除
查问,查询
插入,拔出
策动,策划
草草了事,敷衍了事
操办,筹办
惨重,沉重
惨无人道,惨绝人寰
财产,财富
步调,步伐
不屑一顾,嗤之以鼻
不识好歹,不识抬举
不落窠臼,步人后尘
不留余地,不动声色
不可开交,不亦乐乎
不可多得,车载斗量
不堪一击,摧枯拉朽
不堪设想,不可思议
不近人情,通情达理
不便,方便
补台,拆台
薄情,痴情
博览群书,博学多才
驳回,采纳
并驾齐驱,不相上下
兵荒马乱,太平盛世
别树一帜,标新立异
别人,他人
别具匠心,别出心裁
表演,扮演
表明,标明
表白,表达
变化多端,变化无常
变动,变化
贬责,褒奖
贬抑,褒扬
贬义,褒义
贬斥,贬低
鞭策,鞭笞
边际,边沿
逼上梁山,铤而走险
本性难移,脱胎换骨
本币,辅币
背离,背叛
背地,背后
杯弓蛇影,草木皆兵
暴涨,暴跌
暴发,爆发
保障,保证
帮忙,帮助
办理,操持
百家争鸣,百花怒放
白天,白昼
罢职,撤职
跋山涉水,翻山越岭
八两半斤,不相上下
巴结,逢迎
白痴,呆子
白日,白天
摆架子,搭架子
败露,败事
颁发,发表
搬家,搬迁
搬弄,挑衅
搬迁,搬家
办好,办妥
办事,服务
办妥,办好
半推半就,不即不离
帮手,帮忙
傍边,当中
包涵,包容
包揽,包办
宝物,宝贝
暴动,暴乱
暴乱,暴动
本地,当地
笨蛋,笨伯
比翼双飞,夫唱妇随
笔记,条记
避讳,避忌
避祸,逃难
避忌,避讳
避难,遁迹
编制,体例
变幻莫测,变化多端
变换,变更
辩驳,反驳
秉承,承袭
并且,而且
博爱,泛爱
不才,鄙人
不辞劳苦,不辞劳怨
不单,不但
不法,非法
不服,不平
不该,不应
不够,不敷
不顾,掉臂
不光,不但
不肯,不愿
不利,倒霉
不料,不意
不留神,不留心
不能自已,不能自制
不然,否则
不停,不绝
不同,差别
不妥,不当
不惜,不吝
不行,不可
不愿,不肯
不着边际,天南地北
布景,背景
步骤,步调
财气,财运
财务,财政
财源,财路
财政,财务
裁缝,成衣
裁员,裁人
参见,拜见
惨无天日,天昏地暗
仓库,堆栈
苍生,百姓
苍天,彼苍
操作,操纵
草莽,草泽
册封,封爵
茶馆,茶室
茶楼,茶室
差池,不对
产品,产物
长者,父老
畅饮,痛饮
超级,超等
潮流,潮水
潮水,潮流
吵架,打骂
撤销,打消
尘间,凡间
尘世,凡间
闯入,突入
趁机,乘隙
城市,都会
乘车,搭车
乘船,搭船
乘客,搭客
吃醋,妒忌
叱呵,叱喝
充数,凑数
冲锋陷阵,赴汤蹈火
冲击,打击
冲入,突入
宠信,宠任
抽空,抽闲
仇家,对头
愁云满面,愁眉不展
筹谋,策划
酬金,报答
酬劳,报酬
出版,出书
出格,特别
出人意表,出人意料
出手,脱手
出于无奈,必不得已
初衷,初志
除掉,撤除
除去,撤除
锄奸,除奸
储蓄,储备
处处,到处
处事,办事
触目皆是,比比皆是
揣度,推断
传递,通报
传神,逼真
喘气,喘息
喘息,喘气
垂头,低头
春景,春光
春联,对联
蠢人,笨伯
词典,辞书
词藻,词采
辞谢,推却
此外,别的
刺骨,砭骨
从容自在,从容自若
从头到尾,从头至尾
凑数,充数
粗略,大略
粗言,鄙言
促膝谈心,把臂而谈
存心不良,包藏祸心
忖测,揣测
忖度,揣测
搭车,乘车
搭船,乘船
答理,答应
答允,答应
打倒,打垮
打点,办理
打斗,打架
打赌,赌钱
打架,打斗
打垮,打倒
打骂,吵架
打手势,打手式
打鱼,捕鱼
大败,大北
大半,泰半
大澈大悟,澈底觉悟
大盗,暴徒
大都,多数
大喊,大呼
大呼,大喊
大驾,台端
大叫,大呼
大举,大肆
大名,台甫
大煞风景,焚琴煮鹤
大肆,放肆
大体,大要
大雅,风雅
大雨滂沱,大雨如注
呆子,白痴
代劳,代庖
带动,动员
待价而沽,囤积居奇
待遇,报酬
怠懈,怠惰
单刀赴会,单人独马
单位,单元
单元,单位
担保,包管
胆大心细,胆大心小
胆寒,胆怯
胆量,胆子
胆子,胆量
弹无虚发,百步穿杨
当兵,投军
当事者,本事儿
刀光剑影,刀光血影
倒戈,背叛
倒塌,坍毁
到家,抵家
盗匪,伏莽
盗取,偷取
道听途说,耳食之闻
得病,抱病
德性,德行
灯火辉煌,灯烛辉煌
灯泡,灯胆
登基,登位
登陆,登岸
等到,比及
滴水不漏,点水不漏
滴下,淌下
敌手,对手
地动,地震
地方官,父母官
地盘,土地
地皮,地盘
地契,方单
地震,地动
地址,地点
地主,田主
弟妇,弟媳
弟媳,弟妇
缔造,创造
巅峰,顶峰
点水不漏,滴水不漏
电扇,风扇
店铺,店肆
店主,东家
奠定,奠基
奠基,奠定
雕残,凋零
雕虫小技,虫篆之技
雕零,雕落
雕落,雕零
吊祭,吊丧
吊水,打水
钓鱼,垂纶
调动,变更
调度,调理
调养,保养
订价,定价
定价,订价
定数,定命
定心,放心
东奔西走,到处奔跑
东家,店主
都会,都市
斗胆,大胆
斗殴,打斗
斗气,负气
斗嘴,辩论
豆浆,豆乳
独霸,把持
赌博,打赌
赌钱,赌博
断绝往来,不相闻问
断命,毕命
对调,对换
对换,对调
对联,春联
对手,敌手
对头,仇家
对证,对质
对质,对证
敦朴,敦厚
顿脚,跺脚
多半,多数
多如牛毛,不足为奇
