肮脏,邋遢
黄粱一梦,邯郸之梦
恍然大悟,豁然开朗
诙谐,滑稽
挥动,挥舞
挥挥手,招招手
挥霍,浪费
挥金如土,挥霍无度
挥洒自如,龙飞凤舞
挥舞,挥动
辉映,照映
回顾,回想
回击,还击
回禄,祝融
回身,转身
回首,回想
回首,回顾
回头,回首
回想,回忆
回心,转意
回忆,回想
悔过,悔悟
悔悟,悔过
汇合,会合
汇集,会集
会合,汇合
会见,会面
会聚,汇聚
会面,会见
会晤,会见
会心,会意
会意,会心
讳饰,遮掩
浑厚,浑朴
浑厚,憨厚
浑浑噩噩,糊里糊涂
浑朴,浑厚
魂不附体,魂飞魄散
混合,混杂
混乱,凌乱
混淆,混杂
混淆黑白,混淆视听
混淆视听,混淆黑白
混淆是非,正本清源
混淆是非,指鹿为马
混杂,混淆
混浊,浑浊
豁达,开朗
豁免,宽免
豁免,宽免
豁然开朗,恍然大悟
活力,活气
活泼,活跃
活气,活力
活跃,活泼
火把,火炬
火炬,火把
火伞高张,烈日当空
火线,前线
火药,炸药
或谓,或曰
或许,或者
或曰,或谓
货币,货泉
货泉,货币
获得,取得
祸不单行,灾患丛生
祸害,祸患
祸患,祸害
祸首,罪魁
卡脖子,洽商
开辟,开拓
开场,终场
开除,开革
开导,劝导
开端,开始
开口,启齿
开阔,宽阔
开朗,豁达
开门见山,烘云托月
开门见山,开宗明义
开门见山,直截了当
开门见山,开宗明义
开始,开端
开通,开明
开拓,开辟
开战,开火
开支,开销
开宗明义,开门见山
勘察,勘探
勘探,勘察
坎坷,崎岖
坎坷,崎岖
坎坷,崎岖
看管,照管
看管,看守
看管,看守
看守,看管
看重,重视
康复,痊愈
康庄大道,坎坷不平
考查,考核
考察,考核
考核,考察
考虑,斟酌
考证,考据
苛捐杂税,横征暴敛
苛捐杂税,横征暴敛
苛刻,刻薄
可爱,可恶
可爱,可恨
可爱,可憎
可靠,牢靠
可怕,恐怖
可托,可信
可谓,堪称
可笑,好笑
可信,可托
克服,战胜
刻薄,苛刻
恪守,遵守
溘然,忽然
肯定,确定
恳求,请求
空白,空缺
空地,旷地
空洞,空泛
空泛,空洞
空费时日,旷日持久
空话,空论
空空如也,空洞无物
空口说,空谈
空旷,空阔
空阔,空旷
空论,空话
空前绝后,旷古绝伦
空缺,空白
空谈,空口说
空想,幻想
空言无补,纸上谈兵
空中楼阁,海市蜃楼
孔武有力,力大无穷
恐怖,可怕
恐怖,恐惧
恐惧,害怕
恐惧,恐怖
控告,控诉
控诉,控告
控制,掌握
口气,口吻
口若悬河,侃侃而谈
口是心非,口不应心
口吻,口气
枯槁,憔悴
枯萎,枯败
夸大,夸张
夸奖,夸耀
夸夸其谈,纸上谈兵
夸耀,夸奖
夸张,夸大
快活,快乐
快乐,快活
快速,快捷
宽敞,宽阔
宽广,宽阔
宽广,宽阔
宽宏大量,豁达大度
宽解,宽心
宽阔,宽敞
宽阔,宽广
宽免,豁免
宽免,豁免
宽心,宽解
款待,招待
狂妄自大,谦虚谨慎
旷地,空地
旷废,荒废
旷课,缺课
旷日持久,空费时日
窥测,窥伺
窥伺,窥测
窥探,窥测
魁伟,魁梧
魁梧,魁伟
昆裔,后代
困乏,困倦
困倦,困乏
扩大,扩展
扩展,扩大
扩张,扩大
阔绰,阔气
阔气,阔绰
拉拢,笼络
邋遢,肮脏
蜡烛,烛炬
来龙去脉,前因后果
来龙去脉,前因后果
来源,起源
兰摧玉折,哲人其萎
拦截,拦阻
拦阻,拦截
谰言,滥调
懒,勤
懒惰,懒散
懒散,懒惰
滥调,谰言
滥觞,起源
狼狈不堪,狼狈万状
狼狈万状,狼狈不堪
狼狈为奸,沆瀣一气
朗读,朗诵
朗诵,朗读
浪费,挥霍
浪费,糟蹋
老是,总是
老朽,老拙
老拙,老朽
乐音,噪音
类别,种别
冷傲,冷艳
冷冰冰,凉飕飕
冷嘲热讽,冷言冷语
冷淡,冷漠
冷酷,冷淡
冷落,冷清
冷漠,冷淡
冷僻,冷清
冷气,寒气
冷气,凉气
冷清,冷僻
冷言冷语,冷嘲热讽
冷遇,礼遇
离任,离职
离职,离任
犁庭扫穴,直捣黄龙
篱笆,竹篱
礼节,礼仪
礼仪,礼节
理睬,理会
理会,理睬
理屈词穷,理直气壮
理想,幻想
理应,理当
理直气壮,振振有词
力大无穷,孔武有力
力量,力气
力量,气力
力气,力量
力所能及,力不胜任
力图,力求
力争上游,争先恐后
立即,立刻
立即,立刻
立刻,立即
立锥之地,立足之地
利害,利弊
利益,好处
连累,牵连
连络,连系
连忙,立刻
连系,连络
怜惜,怜悯
联络,联系
廉洁,廉明
廉明,廉洁
廉正,廉洁
恋恋不舍,流连忘返
良伴,良俦
良俦,良伴
良多,很多
良久,很久
良药苦口,忠言逆耳
良莠淆杂,龙蛇混杂
良知,知己
凉快,凉爽
凉气,冷气
凉爽,凉快
两小无猜,青梅竹马
两姓之好,秦晋之好
亮堂堂,黑糊糊
量变,质变
量入为出,量力而行
了却,了结
了债,清偿
猎奇,好奇
裂缝,裂痕
裂痕,裂缝
邻近,临近
临近,邻近
临时,暂时
临阵磨枪,临渴掘井
淋漓尽致,酣畅淋漓
灵便,灵活
灵活,灵巧
灵巧,灵活
凌晨,清晨
凌乱,混乱
凌云壮志,志薄云霄
零件,整机
零散,零碎
零碎,零星
零星,零碎
另册,正册
另起炉灶,重整旗鼓
另娶,再娶
流畅,流利
流浪,流落
流利,流畅
流落,流浪
流通,流畅
留神,留心
留心,留意
留意,留心
龙蛇混杂,良莠淆杂
笼络,拉拢
陆地,海洋
路途,路程
旅居,客居
乱七八糟,杂乱无章
乱世,浊世
乱糟糟,乱哄哄
掠夺,抢夺
掠取,掠夺
轮番,轮流
轮作,连作
论功行赏,照功行赏
论争,论战
罗列,列举
逻骑,侦骑
落后,落伍
落花流水,溃不成军
落伍,落后
栖息,栖身
期近,在即
期望,期冀
欺负,欺侮
欺凌,欺负
欺骗,诈骗
欺侮,欺负
欺压,欺负
齐心协力,群策群力
其他,其余
奇怪,奇异
奇迹,奇观
奇妙,巧妙
奇树异草,奇花异草
奇异,奇怪
歧视,轻视
祈求,期求
祈求,企求
崎岖,曲折
崎岖,坎坷
旗号,旗帜
旗开得胜,克敌制胜
旗帜,旗号
乞降,求和
乞求,祈求
启齿,开口
启迪,启发
启发,启示
启示,启发
起码,最少
起头,开端
起源,来源
气度,气宇
气概,气势
气候,气象
气力,力量
气力,力量
气量,气度
气魄,气势
气势,气概
气味,气息
气息,气味
气象,气候
气宇,气度
气壮山河,气吞山河
弃暗投明,弃旧图新
器重,重视
恰恰,恰好
恰如其分,恰到好处
恰如私愿,正中下怀
恰是,正是
恰谈,洽商
洽商,卡脖子
洽商,恰谈
洽商,洽谈
洽谈,洽商
千丝万缕,千头万绪
千丝万缕,蛛丝马迹
千辛万苦,含辛茹苦
迁移,迁徙
牵连,连累
谦恭,谦和
谦和,谦恭
谦虚,谦逊
谦逊,谦虚
签订,签署
签署,签订
前车之鉴,重蹈覆辙
前程,前途
前赴后继,前仆后继
前途,前程
前线,火线
前因后果,来龙去脉
虔诚,忠诚
钳形进攻,左右夹攻
浅薄,浅陋
浅近,浅易
浅陋,浅薄
浅显,浅易
浅易,浅近
遣散,驱散
枪弹,子弹
强暴,强横
强大,强盛
强大,壮大
强横,强暴
强健,强壮
强迫,强制
强盛,强大
强者,强人
强制,强迫
强壮,强健
抢夺,掠夺
抢先,领先
悄然,悄悄
敲诈勒索,巧取豪夺
巧妙,奇妙
巧取豪夺,敲诈勒索
切肤之痛,欢天喜地
切身,亲身
亲近,亲热
亲切,亲热
亲热,亲切
亲身,亲自
亲身,亲自
亲身,切身
亲信背叛,舟中敌国
亲属,支属
亲自,亲身
侵犯,侵略
侵犯,侵占
侵略,侵犯
侵占,侵犯
秦晋之好,两姓之好
勤奋,勤恳
勤恳,勤奋
勤劳,勤奋
勤劳,勤快
勤勉,勤恳
沁人肺腑,沁人心脾
沁人心脾,沁人肺腑
青出于蓝,后来居上
青睐,青眼
轻便,轻巧
轻浮,轻佻
轻巧,轻盈
轻视,歧视
轻佻,轻浮
轻盈,轻巧
倾吐,倾诉
倾泻,倾注
倾注,倾泻
清查,追查
清偿,了债
清晨,凌晨
清楚,清晰
清理,清算
清亮,清澈
清癯,清瘦
清瘦,清癯
清爽,清新
清算,清理
清晰,清楚
清新,清爽
清音,浊音
蜻蜓点水,走马观花
情感,情绪
情况,情形
情投意合,志同道合
情味,情趣
情形,情况
情绪,情感
情义,情谊
情谊,情义
情意,情义
请柬,请帖
请教,求教
请求,恳求
请帖,请柬
庆贺,庆祝
庆祝,庆贺
穷困,困窘
穷途末路,走投无路
求和,乞降
区分,划分
曲折,崎岖
驱赶,驱逐
驱逐,驱赶
屈从,屈服
屈服,屈从
屈指可数,寥寥无几
趋向,趋势
取得,获得
取缔,取消
龋齿,蛀牙
全部,全体
全球,寰球
全体,全部
权衡,衡量
权力,权利
权利,权力
权益,权利
犬牙交错,纵横交错
犬牙交错,犬牙相制
犬牙相制,犬牙交错
劝导,开导
劝说,劝告
劝止,劝阻
缺点,缺陷
缺乏,缺少
缺课,旷课
缺少,缺乏
缺陷,缺点
确定,肯定
确切,确实
确实,确切
确凿,确实
杂乱,混乱
杂乱无章,横七竖八
灾害,灾祸
灾害,灾难
灾患丛生,祸不单行
灾祸,灾害
灾难,灾害
灾难,灾害
再版,重版
再娶,另娶
在即,期近
在所难免,在劫难逃
暂时,临时
赞成,赞同
赞美,夸奖
赞美,赞扬
赞赏,赞美
赞颂,赞扬
赞同,赞成
赞许,赞成
赞扬,赞赏
赞誉,赞美
赞助,资助
遭受,遭遇
遭遇,遭受
糟践,糟蹋
糟践,糟蹋
糟蹋,浪费
糟蹋,糟践
早晨,凌晨
造作,做作
责备,责怪
责怪,责备
怎样,怎么
增长,增加
增加,增添
增加,增长
增添,增加
增援,支援
憎恶,憎恨
赠送,赠予
赠予,赠送
赠予,赠送
渣滓,垃圾
乍寒乍热,忽冷忽热
诈骗,欺骗
炸药,火药
债权,债务
债务,债权
债主,债户
瞻前顾后,前怕狼后怕虎
瞻望,展望
斩草除根,斩尽杀绝
展开,开展
展示,展现
展望,瞻望
展望,瞻望
展现,展示
占据,占领
占领,占据
占有,占领
战斗,战役
战胜,克服
战线,阵线
战役,战斗
战役,战争
战争,战斗
战争,战役
绽放,绽开
张皇,慌张
掌管,主持
掌握,控制
仗势欺人,狐假虎威
障碍,阻碍
招安,招抚
招蜂引蝶,沾花惹草
招抚,招安
招呼,召唤
招徕,招揽
招招手,挥挥手
召唤,号召
召唤,招呼
召唤,呼唤
召集,招集
照功行赏,论功行赏
照顾,照料
照旧,照常
照料,照顾
照射,照耀
照耀,照射
照应,照顾
照映,辉映
遮盖,遮蔽
遮掩,遮蔽
遮掩,讳饰
哲人其萎,兰摧玉折
侦查,侦察
侦察,侦查
侦骑,逻骑
侦探,侦察
珍爱,珍重
珍宝,至宝
珍贵,可贵
珍奇,珍异
珍惜,珍爱
珍异,珍奇
珍重,珍爱
真诚,真挚
真谛,真理
真理,真谛
真挚,真诚
斟酌,考虑
缜密,周密
阵线,战线
振聋发聩,震耳欲聋
震荡,震动
震动,震撼
震撼,震动
震天撼地,擎天撼地
争持,争吵
争夺,争取
争论,争辩
争取,争夺
征聘,征请
征请,征聘
征询,咨询
整顿,整理
整个,全部
整洁,整齐
整洁,整齐
整理,整顿
整齐,整洁
整天,终日
正册,另册
正当,合法
正派,正直
正派人物,正人君子
正确,准确
正人君子,正派人物
正色,杂色
正是,恰是
正文,注释
正直,正派
正中下怀,恰如私愿
证明,证实
证实,证明
证实,证明
支撑,支持
支持,支撑
支援,增援
支属,亲属
知己,良知
知名,著名
知名,着名
知难而进,知难而退
知难而退,知难而进
执行,履行
直捣黄龙,犁庭扫穴
直截了当,开门见山
直截了当,斩钉截铁
直截了当,转弯抹角
直率,直爽
直抒己见,直言不讳
直爽,直率
直通,纵贯
直言不讳,直抒己见
只需,只要
只要,只有
纸上谈兵,夸夸其谈
纸上谈兵,空言无补
指导,领导
指导,指点
指点,指导
指使,支使
指示,指导
指责,责备
指摘,责备
至宝,珍宝
志薄云霄,凌云壮志
志同道合,气味相投
志愿,自愿
制订,制定
制定,制订
制造,制作
制作,制造
治本,治标
治标,治本
质变,量变
挚友,好友
中断,中止
中心,核心
中心,中央
中心,中央
中央,中心
中止,中断
中缀,中断
忠诚,虔诚
忠诚,忠实
忠厚,忠诚
忠实,忠诚
忠言逆耳,良药苦口
终极,最终
种别,类别
众叛亲离,笼络人心
众说纷纭,七嘴八舌
重版,再版
重酬,厚酬
重担,重任
重任,重担
重视,器重
重视,看重
重要,主要
重整旗鼓,另起炉灶
舟中敌国,亲信背叛
周到,周密
周密,周到
周游,环游
周游,环游
周游,环游
咒骂,诅咒
株连,连累
竹篱,篱笆
烛炬,蜡烛
逐步,逐渐
逐渐,逐步
逐一,逐个
主动,自动
主见,主意
主要,重要
主意,主张
主张,主意
主旨,宗旨
瞩目,注视
伫候,鹄候
伫立,鹄立
助桀为虐,助人为乐
注目,注视
注视,注目
注释,正文
注释,注解
注意,留神
注重,重视
祝福,祝愿
祝贺,庆祝
祝贺,祝愿
祝融,回禄
祝愿,祝贺
著作,著述
蛀牙,龋齿
抓住,捉住
专心,潜心
专注,专一
转机,转折
转身,回身
转危为安,化险为夷
转危为安,转败为胜
转眼,转瞬
转意,回心
装疯卖傻,装聋作哑
装潢,装饰
装聋作哑,装疯卖傻
装模作样,装腔作势
装腔作势,装模作样
装饰,装潢
壮大,强大
壮举,豪举
状况,状态
状态,状况
追本溯源,追根究底
追查,追究
追根究底,追本溯源
追想,追忆
追逐,追赶
准确,正确
卓见,卓识
卓识,卓见
卓越,卓著
卓著,卓越
捉住,抓住
浊世,乱世
着名,知名
咨询,征询
姿势,姿态
姿态,姿势
资格,资历
资历,资格
资助,赞助
滋长,滋生
滋生,滋长
滋养,滋润
子弹,枪弹
子弟,后辈
子虚乌有,化为乌有
自傲,自负
自暴自弃,自强不息
自暴自弃,自轻自贱
自卑,自大
自卑,自满
自卑,自馁
自惭形秽,自愧不如
自惭形秽,自我陶醉
自大,自卑
自动,主动
自负,自信
自高自大,自命不凡
自给自足,自力更生
自尽,自杀
自觉,自发
自掘坟墓,自取灭亡
自夸,自诩
自力更生,自给自足
自力更生,自食其力
自鸣得意,沾沾自喜
自命不凡,自高自大
自命不凡,自以为是
自取灭亡,自投罗网
自然,做作
自如,自若
自若,自如
自杀,自残
自食其果,自作自受
自投罗网,自掘坟墓
自相矛盾,自圆其说
自信,自负
自诩,自夸
自由,自在
自愿,强迫
自在,自由
宗旨,主旨
踪迹,踪影
踪影,踪迹
总是,老是
纵贯,直通
纵横交错,犬牙交错
走狗,走卒
走投无路,穷途末路
走卒,走狗
足智多谋,老谋深算
诅咒,咒骂
阻当,阻梗
阻挡,拦阻
阻挡,阻拦
阻遏,阻挠
阻遏,阻止
阻梗,阻当
阻拦,阻挡
阻挠,阻拦
阻止,阻拦
最少,起码
最少,起码
最终,终极
罪不容诛,罪大恶极
罪不容诛,罪恶滔天
罪不容诛,罪该万死
罪大恶极,罪不容诛
罪大恶极,罪孽深重
罪恶,罪行
罪魁,祸首
罪行,罪恶
罪责,罪恶
尊崇,尊敬
尊敬,尊重
尊重,尊敬
遵守,遵照
遵循,遵守
遵照,遵守
左顾右盼,瞻前顾后
左右夹攻,钳形进攻
作怪,作祟
作甚,何为
作祟,作怪
坐观成败,坐山观虎斗
坐立不安,坐卧不宁
坐收渔利,坐享其成
坐享其成,坐收渔利
做作,造作
争先恐后,力争上游
坐山观虎斗,坐观成败
作威作福,横行霸道
罪状,罪行
嘴软,嘴硬
嘴巧,嘴笨
嘴快,嘴紧
嘴紧,嘴快
自作自受,自食其果
自圆其说,自相矛盾
自愧不如,自惭形秽
浊音,清音
追忆,追想
追赶,追逐
装璜,装饰
转折,转机
转瞬,转眼
专一,专注
著述,著作
助人为乐,助桀为虐
助长,滋长
主观,客观
主队,客队
重伤,轻伤
种瓜得瓜,种豆得豆
终点,起点
中转,直达
战败,战胜
沾沾自喜,自鸣得意
债户,债主
怎么,怎样
噪音,乐音
遭逢,遭遇
在押,在逃
在逃,在押
在劫难逃,在所难免
在朝,在野
杂色,正色
凉飕飕,冷冰冰
联结,联合
乱哄哄,乱糟糟
轮流,轮番
凛冽,寒冷
争执,争论
清脆,洪亮
龙飞凤舞,挥洒自如
挥汗如雨,汗流浃背
宏论,弘论
夸赞,夸奖
招集,召集
主持,掌管
红艳艳,红彤彤
沾花惹草,招蜂引蝶
枯败,枯萎
绽开,绽放
终日,整天
乐滋滋,气呼呼
追寻,追随
黑压压,黑漆漆
困窘,穷困
起伏,崎岖
环视,环顾
欢呼,喝彩
好奇,猎奇
烈日当空,火伞高张
擎天撼地,震天撼地
堪称,可谓
奇花异草,奇树异草
劝阻,劝止
劝解,劝慰
痊愈,康复
全副,全部
去路,来路
趋势,趋向
驱散,遣散
求教,请教
罄竹难书,擢发难数
情趣,情味
清官,赃官
倾诉,倾吐
轻伤,重伤
轻捷,轻盈
轻活,重活
轻薄,轻浮
青眼,青睐
青梅竹马,两小无猜
切题,离题
强占,侵占
前事不忘，后事之师,前车之鉴
前任,后任
前人,后人
前期,后期
前仆后继,前赴后继
前面,后面
前方,后方
谦虚谨慎,狂妄自大
悭吝,吝啬
牵累,连累
迁徙,迁移
千头万绪,千丝万缕
恰到好处,恰如其分
气味相投,志同道合
气吞山河,气壮山河
起初,后来
其余,其他
期求,祈求
七嘴八舌,众说纷纭
落潮,涨潮
论战,论争
笼络人心,众叛亲离
留鸟,候鸟
流连忘返,恋恋不舍
流动,活动
领取,支付
列举,罗列
了结,了却
两头,中间
两败俱伤,两全其美
良种,劣种
良心,良知
连作,轮作
连贯,连接
利弊,利害
立足之地,立锥之地
力求,力图
力不从心,力所能及
礼遇,冷遇
离题,切题
老谋深算,足智多谋
拦挡,拦截
来路,去路
来到,离开
垃圾,渣滓
旷古绝伦,空前绝后
口松,口紧
口不应心,口是心非
空谷传声,立竿见影
空洞无物,空空如也
坑骗,欺骗
垦荒,开荒
客人,主人
客队,主队
刻骨仇恨,恨之入骨
克敌制胜,旗开得胜
可恶,可爱
考据,考证
坎坷不平,康庄大道
开销,开支
开明,开通
开火,开战
开革,开除
或者,或许
豁达大度,宽宏大量
混同,混淆
魂飞魄散,魂不附体
浑浊,混浊
会集,汇集
汇聚,会聚
回绕,缭绕
挥霍无度,挥金如土
荒诞不经,合情合理
寰球,全球
欢欣鼓舞,欢天喜地
坏事,好事
坏话,好话
坏蛋,好人
坏处,害处
化为泡影,化为乌有
华侨,华裔
花色,花样
糊里糊涂,浑浑噩噩
狐群狗党,沆瀣一气
厚道,刻薄
后裔,后嗣
后任,前任
后期,前期
后面,前面
后劲,潜力
后方,前方
后盾,后台
洪水猛兽,祸不单行
横七竖八,杂乱无章
横队,纵队
黑白分明,混淆是非
鹤发童颜,老气横秋
核查,核对
和平,战争
和睦相处,自相残杀
好事,坏事
好人,坏人
好话,坏话
寒门,豪门
含意,含义
含糊其辞,直截了当
酣畅淋漓,淋漓尽致
害羞,害臊
害处,坏处
海外,海内
朝三暮四,朝秦暮楚
含笑九泉,含笑入地
含血喷人,含沙射影
寒冬,隆冬
寒光,冷光
罕有,罕见
汉文,华文
汗如雨下,汗流浃背
汗衫,笠衫
豪门,权门
好本领,好身手
好多,很多多少
好身手,好本领
好似,恰似
好天,晴天
好学,勤学
浩瀚,众多
喝采,喝彩
合伙,合资
何必,何须
何干,何关
何故,何以
何况,况且
何须,何必
和好,和洽
和洽,和好
和事老,鲁仲连
河边,河滨
河道,河流
河流,河道
河畔,河边
黑钱,陋规
哄骗,利用
红颜,朱颜
宏亮,嘹亮
鸿图,鸿猷
鸿运,隆运
后援,后盾
厚待,厚遇
厚利,重利
厚遇,厚待
呼叫,呼唤
狐假虎威,仗势欺人
胡里胡涂,浑浑噩噩
胡说,乱说
糊弄,乱来
护理,照顾护士
花草,花卉
花卉,花草
花名,混名
花园,花圃
华夏,中原
滑冰,溜冰
画图,绘图
话柄,口实
欢悦,欢腾
还乡,回籍
还有,另有
环境,情况
幻境,幻梦
荒谬绝伦,荒诞不经
荒淫无度,荒淫无耻
惶惶,惶遽
灰暗,昏暗
绘图,画图
晦暗,昏暗
昏倒,昏迷
昏厥,昏迷
婚事,亲事
魂灵,灵魂
魂魄,灵魂
混水摸鱼,浑水摸鱼
活着,在世
火警,火灾
火灾,火警
火葬,火化
货物,货品
祸从口出,祸发齿牙
祸端,祸根
祸根,祸端
开发,开辟
开花,着花
开玩笑,开顽笑
勘测,勘察
看穿,看破
看破,看透
看透,看破
考场,科场
靠得住,可靠
苛吏,酷吏
磕头,叩首
客官,客长
客套,客气
客厅,客堂
空城计,奇策
空匮,空乏
口味,口胃
叩首,叩头
叩头,叩首
酷吏,苛吏
款项,款子
况且,何况
来历,来源
浪潮,海潮
劳顿,劳累
劳驾,屈驾
老到,老练
老规矩,老例子
老汉,老夫
老婆,妻子
老少,老小
老太婆,老妇人
老小,老少
乐谱,曲谱
乐融融,乐陶陶
乐土,乐园
乐园,乐土
泪流满面,泪如泉涌
泪如泉涌,泪流满面
泪如雨下,泪流满面
泪眼汪汪,泪流满面
冷风,凉风
冷光,寒光
罹难,遭灾
礼服,制服
礼品,礼物
礼让,谦逊
礼堂,会堂
礼物,礼品
理由,来由
力争,力图
历尽艰辛,含辛茹苦
历史,汗青
立身,立品
立足,驻足
联贯,连绵
恋人,情人
凉风,冷风
两端,两头
寥寥无几,寥若晨星
寥若晨星,寥寥无几
了不起,了不得
临机应变,临机处置
吝惜,怜惜
灵魂,魂魄
溜冰,滑冰
流离,流浪
龙马精神,龙腾虎跃
露水,露珠
露珠,露水
陆续,连续
旅程,路程
旅店,旅馆
旅馆,旅店
律师,状师
乱闯,乱撞
乱说,胡说
乱撞,乱闯
轮船,汽船
轮替,轮番
落难,流浪
落魄,崎岖潦倒
落选,落第
妻子,老婆
欺善怕恶,欺软怕硬
齐集,会合
齐整,划一
奇奥,奇妙
旗手,旗头
企盼,瞻仰
起色,转机
起身,起家
绮绮子弟,绮襦纨裤
气势磅,气吞山河
气焰,气势
泣如雨下,泪流满面
契约,左券
恰似,好似
千古流芳,流芳百世
千金,令媛
千真万确,确切不移
牵扯,牵涉
签定,签订
前列,前线
前去,前往
前往,前去
钱币,货币
潜在,潜伏
强调,夸大
抢劫,掳掠
巧言,巧舌
切记,牢记
亲如手足,情同骨肉
亲友,亲朋
勤学,好学
青翠,青葱
倾心,倾慕
清冷,清凉
清廉,廉洁
清凉,清冷
清早,朝晨
情人,恋人
情同骨肉,情同手足
情有独锺,情之所锺
晴天,好天
请安,致意
穷困潦倒,潦倒穷困
秋天,秋日
求全,责备
曲谱,乐谱
驱使,驱策
趋之若鹜,趋附者众
取暖,取暖和
取舍,弃取
去年,客岁
去向,去处
去职,离职
全军覆没,全军尽没
全年,整年
全日,整日
权柄,职权
权谋,权术
栽培,种植
再会,再见
在世,活着
暂且,临时
摘要,择要
照样,还是
折扣,扣头
真心,至心
镇定,冷静
镇定,镇静
震惊,震动
争先,抢先
正好,恰好
正路,正途
正途,正路
正午,中午
执迷不悟,至死不渝
指控,控告
指桑骂槐,指鸡骂犬
至交,至好
制服,礼服
智慧,伶俐
置之度外,置之不理
众多,浩繁
众口纷纭,众说纷纭
重建,重修
周全,全面
主办,主理
主犯,正犯
住宿,留宿
助威,助势
资本,资源
子女,后代
自立,自主
自尊,自负
最先,开始
罪过,罪行
作恶,作歹
作废,取消
作奸犯科,横行霸道
朝晨,清早
朝梁暮陈,朝梁暮晋
朝梁暮晋,朝梁暮陈
海阪,海隅
海潮,浪潮
海隅,海阪
含笑入地,含笑九泉
寒害,冷害
寒天,冷天
寒战,寒噤
汗出如浆,汗流浃背
汗青,历史
航路,航线
航线,航路
浩繁,众多
呵欠,欠伸
合股,合资
合力攻敌,戮力同心
合资,合伙
何关,何干
何以,何故
河滨,河干
河伯,河神
河神,河伯
荷包,钱袋
很多多少,好多
恨入骨髓,恨之入骨
亨通,利市
呼卢喝雉,呼么喝六
呼么喝六,呼卢喝雉
呼,呵责
互相研究,切磋琢磨
花圃,花园
华文,汉文
滑稽突梯,诙谐百出
划一,整齐
画虎成犬,刻鹄类鹜
幻梦,幻境
荒淫无耻,荒淫无度
慌不择路,寒不择衣
惶遽,惶惶
晃动,晃悠
晃悠,晃荡
诙谐百出,滑稽突梯
回籍,还乡
回手,回击
回乡,回籍
会堂,礼堂
绘声绘影,历历如绘
混居,杂居
混名,花名
豁略大度,宽宏大量
活扣,活结
活龙活现,活灵活现
火化,火葬
货品,货物
获利优厚,利市三倍
祸发齿牙,祸从口出
祸殃,祸患
开拔,开赴
开顽笑,开玩笑
开罪,获罪
刊出,注销
刊误表,勘误表
勘误表,刊误表
堪舆术,青鸟术
坎阱,罗网
慷慨解囊,仗义疏财
考成,考绩
考绩,考成
犒军,劳军
科场,考场
可儿,可人
可骇,可怕
可佩,可钦
可钦,可佩
可人,可儿
渴慕,渴仰
渴仰,渴慕
克日,刻期
刻鹄类鹜,画虎成犬
客长,客官
客居,旅居
客岁,去年
客堂,客厅
空乏,空匮
空房,空屋
空腹,空肚
空屋,空房
恐惊,恐惧
恐惧不安,栗栗不安
口传,口授
口儿,口子
口实,话柄
口授,口传
口胃,口味
口子,口儿
扣头,折扣
