女,少女
胜过,赛过
绳索,绳子
绳子,绳索
尸谏,死谏
失机,失时
失礼,失仪
失利,失败
失落,失踪
失窃,失贼
失时,失机
失算,失策
失望,扫兴
失效,生效
失仪,失礼
失贼,失窃
失踪,失落
施行,实施
施行,实行
湿淋淋,湿漉漉
湿漉漉,湿淋淋
十拿九稳,万无一失
什物,实物
时辰,时刻
时代,时期
时分,时候
时光,时间
时间,时光
时髦,时兴
时期,时代
时事,时势
时势,时事
时势,时事
时兴,时髦
时装,古装
实践,实际
实施,实行
实事求是,故弄玄虚
实物,什物
实行,实施
实验,试验
实用,适用
拾掇,收拾
食品,食物
食物,食品
世易时移,事过境迁
市道,市面
市面,市道
事必躬亲,身体力行
事出有因,无缘无故
事故,事变
事过境迁,世易时移
事前,事先
事情,事件
事与愿违,适得其反
侍从,随从
势不可当,势如破竹
势不两立,水火不相容
势均力敌,平分秋色
势如破竹,势不可当
视察,观察
视而不见,熟视无睹
视死如归,杀身成仁
视野,视线
试验,实验
拭目以待,刮目相待
适得其反,事与愿违
适用,实用
嗜好,癖好
誓词,誓言
收成,收获
收复,光复
收获,收成
收获,收成
收获颇丰,受益匪浅
收留,收容
收容,收留
收尾,扫尾
手表,腕表
手段,手腕
手法,手段
手脚,四肢
手轻脚健,年轻力壮
手腕,手段
守势,功势
守势,攻势
首级,首领
首领,首级
首屈一指,数一数二
寿终正寝,死于非命
受贿,纳贿
受命,授命
受骗,上当
受权,授权
受阻,碰壁
授命,受命
授权,受权
书厨,书柜
书橱,书柜
书柜,书厨
书柜,书橱
书箧,书箱
书箱,书箧
抒怀,抒情
抒情,抒怀
疏浚,疏通
疏松,蓬松
疏松,松散
疏通,疏浚
舒畅,舒服
舒服,舒畅
舒适,舒服
舒适,舒服
舒展,伸展
输赢,胜负
熟识,熟悉
熟悉,熟习
熟习,熟悉
戍卫,卫护
束手待毙,束手就擒
树碑立传,歌功颂德
数量,数目
数目,数量
数一数二,首屈一指
衰草如烟,衰草连天
衰落,衰败
爽快,爽直
爽直,爽快
水到渠成,瓜熟蒂落
水到渠成,顺理成章
水果,生果
水患,水灾
水深火热,生灵涂炭
水天一线,水天相接
顺道,顺路
顺路,顺道
顺俗,随俗
顺应,适应
瞬间,霎时
瞬时,刹时
说书,平话
说书,评话
私家,私人
私交,私情
私情,私交
私人,私家
私自,擅自
私自,私下
思惟,思想
思想,思维
思想,思惟
思绪,思路
嘶哑,沙哑
死,逝世
死谏,尸谏
死生之交,啮臂之交
死生之契,啮臂之交
四不像,怪样子
四面,四周
四面八方,五湖四海
四肢举动,手脚
四周,四处
伺候,侍候
肆无忌惮,无法无天
松散,疏松
松懈,松散
怂恿,鼓动
送旧迎新,送往迎来
送往迎来,送旧迎新
搜集,收集
搜罗,收罗
搜罗,搜集
搜索,搜寻
搜寻,搜查
搜寻,搜索
苏州,姑苏
素常,平素
素净,素淡
素昧平生,似曾相识
素昧平生,素不相识
素日,平日
塑像,泥像
算计,盘算
虽然,固然
随便,随意
随从,跟从
随从,侍从
随手,顺手
随俗,顺俗
随心所欲,为所欲为
随意,随便
随着,跟着
岁入,岁收
岁收,岁入
损害,伤害
损坏,破坏
损伤,伤害
损伤,损害
损失,丧失
缩头缩脑,缩手缩脚
所向披靡,所向无敌
所向无敌,所向披靡
挖空心思,煞费苦心
洼地,高地
歪路,旁门
歪门邪道,旁门左道
歪七扭八,歪歪扭扭
歪歪扭扭,歪七扭八
外埠,外地
外地,外埠
外家,娘家
外强中干,色厉内荏
外援,外助
外助,外援
完璧归赵,物归原主
完成,实现
完美,完善
完美无缺,十全十美
完全,完整
完善,完美
完整,完全
玩法,弄法
顽固,固执
万古长存,万古长青
万古长青,万古长存
万马齐喑,死气沉沉
万马齐喑,万马奔腾
万事大吉,高枕无忧
万试万灵,功效如神
万无一失,十拿九稳
腕表,手表
王侯,贵爵
王老五骗子,光棍
王孙公子,贵族子弟
网罗,搜罗
往常,平常
妄图,妄想
妄想,妄图
妄言,妄语
妄语,妄言
妄自尊大,唯我独尊
忘恩负义,感恩戴德
忘怀,忘记
忘记,忘却
忘却,忘记
忘我,无私
望而却步,望而生畏
望而生畏,望而却步
望风而逃,攻无不克
望风而逃,破门而出
望风而逃,闻风丧胆
望文生义,顾名思义
危殆,危急
危害,迫害
危害,伤害
危如累卵,危在旦夕
危如累卵,稳如泰山
威逼,威胁
威望,威信
威胁,威逼
威信,威望
威严,森严
威严,威风
威严,威武
微波荡漾,微波粼粼
微乎其微,微不足道
为虎作伥,为民除害
为难,难堪
为人作嫁,耕人之田
为所欲为,随心所欲
为所欲为,为非作歹
为所欲为,随心所欲
围歼,围剿
违背,违反
违法,守法
违反,违背
违犯,违背
违抗,违背
违逆,忤逆
唯命是从,唯唯诺诺
伪造,捏造
委决不下,难以决断
萎靡不振,神气十足
卫护,戍卫
畏首畏尾,敢作敢为
慰劳,慰问
慰问,慰劳
温和,平和
温暖,暖和
温柔,温顺
温顺,温柔
温文尔雅,文质彬彬
文风不动,纹丝不动
文化,文明
文明,文化
文雅,高雅
文质彬彬,温文尔雅
稳定,稳固
稳固,稳定
稳健,稳重
稳妥,稳当
稳重,慎重
问长问短,问寒问暖
问寒问暖,问长问短
瓮中鳖,囊中物
瓮中之鳖,瓮中捉鳖
我行我素,刚愎自用
沃土,膏壤
污蔑,诬蔑
诬告,诬陷
诬害,诬陷
诬陷,诬告
无边无际,无边无涯
无边无际,无边无涯
无边无涯,无边无际
无端,无故
无恶不作,无所不为
无法,无奈
无法计算,难以估计
无故,无端
无故,无端
无故,无端
无计可施,无能为力
无可厚非,无可非议
无量,无穷
无名小卒,无名英雄
无穷,无限
无视,疏忽
无私,忘我
无所事事,无所作为
无微不至,无所不至
无限,无穷
无须,毋庸
无忧无虑,无牵无挂
无与伦比,无可比拟
无缘无故,平白无故
无缘无故,事出有因
五光十色,五彩缤纷
五光十色,五颜六色
五湖四海,四面八方
五颜六色,色彩斑斓
五颜六色,五光十色
五颜六色,五花八门
五月,蒲月
忤逆,违逆
武断,果断
务实,务虚
务虚,务实
物质,物资
物资,物质
误会,误解
误解,误会
神仙道,神仙道
属实,失实
物归原主,完璧归赵
武官,文官
五彩缤纷,五光十色
毋庸,无须
无心,无意
无所不至,无微不至
无所不为,无恶不作
无牵无挂,无忧无虑
无能,能干
无名英雄,无名小卒
无可奈何,迫不得已
无可非议,无可厚非
无可比拟,无与伦比
无际,无边
问心有愧,问心无愧
稳当,稳妥
文治,武功
惟一,唯一
水天相接,水天一线
时尚,时髦
微波粼粼,微波荡漾
哽咽,呜咽
设施,设备
是否,能否
受益匪浅,收获颇丰
危峰兀立,怪石嶙峋
完整无缺,完好无损
硕大无朋,庞然大物
凭借,凭仗
时刻,时辰
感召,感化
逆境,顺境
无奈,无法
辜负,孤负
衰草连天,衰草如烟
适应,顺应
公德,私德
身价百倍,声誉鹤起
惟恐,生怕
盛开,怒放
湿热,干冷
失策,失算
声音,声响
生效,失效
生手,熟手
生存,生活
神气,神情
擅自,私自
闪动,闪烁
刹时,瞬时
杀人越货,舍己为人
杀人不眨眼,杀人不见血
森严,威严
色厉内荏,外强中干
色调,色彩
三思而行,深思熟虑
评头品足,品头论足
评估,评价
平心而论,弄虚作假
平坦,平整
平时,平常
平白无故,无缘无故
偏心,公平
偏差,偏向
碰壁,受阻
膨胀,收缩
蓬松,疏松
培修,维修
胖子,瘦子
派别,派系
排练,排演
怄气,生气
女子,男子
扭转,改变
扭曲,歪曲
凝固,凝结
宁为玉碎，不为瓦全,宁死不屈
宁肯,宁可
年迈力衰,年富力强
年初,年终
逆水,顺水
能干,无能
男子,女子
纳入,归入
内政,外交
内债,外债
内销,外销
内向,外向
内线,外线
内务,外务
内伤,外伤
内勤,外勤
内科,外科
内景,外景
内奸,外敌
内患,外患
内涵,外延
内查,外调
内部,外部
过来,过去
果然,果真
果决,果断
国营,公营
国货,外货
诡秘莫测,神出鬼没
光洁,光亮
光顾,光临
贯通,贯穿
管教,管束
观点,观念
拐弯抹脚,旁敲侧击
刮目相待,拭目以待
顾名思义,望文生义
顾虑,顾忌
孤立无援,孤掌难鸣
构想,设想
共性,个性
攻无不克,望风而逃
攻打,攻击
功势,守势
功亏一篑,功败垂成
公有,私有
公心,私心
公事,私事
工细,工巧
各有千秋,各有所长
高瞻远瞩,鼠目寸光
高地,洼地
刚劲,刚毅
刚愎自用,我行我素
感怀,感念
敢作敢为,畏首畏尾
肝胆相照,披肝沥胆
概况,概略
改选,改组
改过,改正
改名,更名
盖章,盖印
概括,归纳综合
概念,观点
肝火,怒气
感激不尽,感激涕零
感激涕零,感激不尽
感冒,伤风
感伤,感慨
感应,感到
刚烈,刚强
刚正,朴直
刚直,朴直
岗位,岗亭
高慢,高傲
高妙,高明
高攀,攀附
高屋建瓴,高高在上
高招,高着
告白,广告
告辞,告别
告罪,陪罪
戈壁,沙漠
割据,盘据
歌女,女乐
歌咏,歌颂
隔壁,隔邻
各尽所能,各展其长
各类,各种
各执一词,各不相谋
跟班,跟从
更正,改正
耕耘,耕作
耕种,耕作
耕作,耕耘
工厂,工场
工整,工致
弓手,射手
公共场所,公开场合
公函,公文
公判,公审
公审,公判
公文,公牍
公务,公事
公证人,评判人
公子哥儿,膏粱子弟
公子王孙,纨 子弟
攻下,攻陷
构思,构想
姑娘,女人
孤傲,孤独
孤高,高慢
孤僻,孤介
古董,骨董
骨肉,骨血
鼓掌,拍手
故交,故友
故里,故乡
故人,故交
瓜分,朋分
寡妇,未亡人
挂心,挂记
拐杖,手杖
关节,枢纽
关口,关隘
关连,干系
观测,观察
官价,公价
官吏,仕宦
官署,官厅
官司,讼事
光华,光彩
光泽,光芒
广告,告白
广漠,广阔
归途,归程
闺房,内室
鬼怪,鬼魅
鬼混,厮混
鬼魅,鬼怪
鬼迷心窍,鬼摸脑壳
贵宾,高朋
贵客,高朋
滚蛋,滚开
滚开,滚蛋
国粹,国学
国法,王法
国外,外洋
国学,国粹
过问,干涉
哪里,那里
内哄,内乱
内疚,忸怩
内乱,内乱
内在,内涵
那边,那里
那个,谁人
那里,那边
耐性,耐烦
男儿膝下有黄金,男子汉大丈夫
男人,男子
男子汉大丈夫,男儿膝下有黄金
南边,南方
难得,难过
难懂,难明
难解,难明
难明,难懂
难舍难分,藕断丝连
脑袋,脑壳
脑壳,脑袋
能言善辩,舌粲莲花
年华,光阴
年数,年纪
年头,年初
年尾,年末
年月,年代
念佛,念经
念经,念佛
凝神,凝思
凝望,凝视
浓妆,盛饰
浓妆艳抹,浓装艳裹
奴婢,仆众
奴隶,仆从
奴仆,奴婢
怒火,肝火
怒气,肝火
女婢,女侍
女优,女伶
女中豪杰,女中丈夫
女中丈夫,女中豪杰
藕断丝连,难舍难分
趴下,爬下
爬下,趴下
拍马屁,捧臭脚
拍手,鼓掌
排出,排挤
牌坊,牌楼
牌楼,牌坊
攀附,攀援
盘查,盘问
盼愿,盼望
滂湃,滂沱
滂沱,滂湃
跑江湖,跑码头
跑马,赛马
陪罪,告罪
赔礼,赔罪
佩戴,佩带
配合,共同
配置,设置
烹饪,烹调
捧场,恭维
碰钉子,碰鼻
碰着,碰到
披头散发,蓬首垢面
披阅,披览
劈腿,劈叉
疲劳,疲惫
脾性,脾气
片面之词,片面之言
片晌,片刻
偏爱,偏幸
漂荡,飘零
漂流,漂泊
飘零,飘荡
瞥见,望见
拼凑,拼集
频繁,频仍
平旦,平明
平局,平手
评论,批评
评述,批评
评头论足,说长道短
凭证,凭据
屏障,屏蔽
破损,破坏
剖释,剖判
仆从,跟班
扑面,劈面
扫墓,省墓
杀绝,扑灭
杀一儆百,杀鸡骇猴
沙漠,戈壁
沙滩,沙岸
山川,山水
山水,山川
闪灼,闪烁
伤风,感冒
商店,市肆
商铺,商店
赏光,赏脸
赏脸,赏光
设宴,设席
赦免,赦宥
摄影,拍照
身段,身材
身后,死后
神志,神态
甚至,乃至
渗出,排泄
生机勃勃,生气勃勃
生计,生存
生平,平生
生死之交,刎颈交
声息,声气
省城,省垣
盛情,盛意
尸骨,尸骸
尸骸,尸骨
时候,时间
时局,时势
时势所迫,格于环境
始末,委曲
世世代代,生生世世
市价,时价
示范,树模
事后,过后
事务,事件
事宜,事件
收集,网络
收条,收据
瘦骨如柴,品格清高
书本,书籍
刷新,革新
甩掉,抛弃
爽脆,爽利
水灾,水患
顺利,顺遂
说谎,撒谎
思路,思绪
死不足惜,死有余辜
四季,四序
松弛,松懈
送命,送死
送死,送命
颂扬,歌颂
搜刮,搜索
素昧生平,素不相识
速度,速率
岁数,年龄
岁月,光阴
缩短,收缩
外患,外祸
外套,外衣
外行,生手
外衣,外套
忘掉,忘记
望穿秋水,望眼将穿
危机,危急
危险,伤害
委婉,婉转
稳如泰山,固若金汤
误差,偏差
彷佛,似乎
彷徨歧途,徘徊歧路
改弦易辙,改变方式
盖印,盖章
干瘦,干瘪
干预干与,干涉
干证,旁证
甘霖,甘雨
甘雨,甘霖
甘愿宁可,甘心
感愧并交,感愧交集
感愧交集,感愧并交
岗亭,岗位
高古,古雅
高峻,高大
高枕而卧,无忧无虑
高着,高作
高作,高着
膏粱子弟,公子哥儿
割肉医疮,望梅止渴
阁房,内室
格于环境,时势所迫
隔邻,隔壁
各不相谋,各自为政
各异,各别
各展其长,各尽所能
各自进行,各行其是
给与,授与
更次,更头
更名,改名
更头,更次
耕具,农具
工场,工厂
工致,工整
弓,弓套
弓套,弓
公差,公役
公牍,公文
公断,公评
公价,官价
公评,公断
公役,公差
勾通,勾结
沟渠,水渠
狗洞,狗窦
狗窦,狗洞
估计打算,盘算推算
孤拐脸,孤拐面
孤拐面,孤拐脸
孤介,孤僻
古雅,高古
骨董,古董
骨血,骨肉
固结,凝结
故旧,素交
故友,故交
故宅,故园
寡居,孀居
挂记,挂心
关隘,关口
管库,司库
管帐,司帐
贯注,灌注
光溜溜,光秃秃
归程,归途
归纳综合,概括
圭表标准,圭臬
圭臬标准,圭表
鬼摸脑壳,鬼迷心窍
过人才略,盘盘大才
过堂,审问
格格难入,格格不入
内里,内中
内人,内子
内室,闺阁
内争,内
内中,内里
内子,内人
内,内乱
那处,那里那边
难熬难过,难受
泥坑,泥淖
泥淖,泥塘
腻滑,平滑
年代,年月
年底,岁尾
年末,岁终
年深日久,年湮代远
年湮代远,年深日久
念兹在兹,念念不忘
捏词,设辞
凝思,凝神
牛骥同皂,泥沙俱下
农具,耕具
农人,农民
浓装艳裹,浓妆艳抹
弄月,赏月
怒气冲发,怒气冲冲
女乐,歌女
女伶,女优
女侍,女婢
徘徊歧路,彷徨歧途
牌号,商标
牌照,派司
派司,牌照
攀龙趋凤,攀龙附凤趋炎附势
攀援,攀附
盘费,盘川
盘货,盘点
盘盘大才,过人才略
盘算推算,估计打算
判词,判语
判语,判词
庞大无比,硕大无朋
旁证,干证
抛摆,抛撇
抛荒,疏弃
抛撇,抛摆
抛清,撇清
跑码头,跑江湖
跑堂,侍者
陪侍,随侍
喷鼻,喷鼻香
喷鼻香,喷香
烹调,烹饪
朋分,瓜分
蓬葆,蓬头
蓬菖人,蓬户士
蓬发,蓬葆
蓬莱仙境,蓬瀛仙境
蓬门,蓬荜
蓬首垢面,披头散发
蓬瀛仙境,蓬莱仙境
捧臭脚,拍马屁
碰鼻,碰钉子
碰运气,试试看
披垂,披散
披荆棘,披荆斩棘
披览,披阅
披散,披垂
披星带月,披霜冒露
劈叉,劈腿
霹雳战,闪电战
皮郛,皮囊
皮娇肉嫩,十指尖尖
皮毛,外相
皮囊,皮郛
匹马不还,匹马只轮
匹马只轮,匹马不还
圮绝,屏绝
僻典,僻事
僻事,僻典
片甲不留,屁滚尿流
片面之言,片面之词
偏幸,偏爱
骈体文,四六文
撇清,抛清
拼集,拼凑
频仍,频繁
品评,批评
平地一声雷,石破天惊
平滑,腻滑
平明,平旦
平手,平局
平昔,平素
平展,平坦
平正,平允
评断,评议
评判人,公证人
评议,评断
屏蔽,屏障
屏绝,圮绝
屏气凝神,收视返听
萍泊,萍浮
萍浮,萍泊
破耗,破钞
剖判,剖释
仆欧,跑堂
仆众,奴婢
铺排张扬,铺张扬厉
铺张扬厉,铺排张扬
朴直,梗直
普度众生,普济群生
普渡众生,普度众生
赛马,跑马
三回九曲,三回九转
三回九转,三回九曲
丧父,失怙
丧母,失恃
色泽,光彩
杀鸡骇猴,杀一儆百
沙岸,沙滩
山峰,山岳
煽惑,煽动
闪电战,霹雳战
闪烁其词,深加隐讳
赏月,弄月
上彀,上网
上网,上彀
韶光,时光
韶华,年光光阴
少气无力,死气沉沉
舌粲莲花,能言善辩
设席,设宴
设置装备摆设,设备
射手,弓手
赦宥,赦免
申饬,告诫
身故,身死
身死,身故
深藏若虚,守愚藏拙
深图远虑,深思熟虑
深宵,更阑
神采飞扬,神采奕奕
渗入渗出,渗透
生气希望,生机
生生不已,生息不断
生生世世,世世代代
生息不断,生生不已
生性,素性
声气,声息
胜券在握,瓮中捉鳖
笙歌,歌乐
省察,省检
省检,省察
省墓,扫墓
省垣,省城
盛饰,浓妆
盛意,盛情
失察,失算
失怙,丧父
失色,失神
失恃,丧母
失信,失约
十指尖尖,皮娇肉嫩
十足,实足
石工,石匠
石匠,石工
时不我待,时不再来
时不再来,时不我待
时价,市价
史乘,史籍
史书,史乘
矢誓,矢语发誓
矢语发誓,矢誓
仕宦,官吏
市道市情,市面
市肆,市廛
试试看,碰运气
适才,刚才
收据,收条
收罗,搜聚
手简,手翰
手杖,拐杖
手足胼胝,手足重茧
手足重茧,手足胼胝
守兵,戍卒
守分,守拙
守拙,守分
书函,书札
书柬,书函
书信,手札
纾难,抒难
枢纽关头,关节
戍卒,守兵
树范,树模
树模,树范
庶务,碎务
孀居,寡居
爽性,干脆
谁人,那个
水点,水滴
水费,水脚
水火倒悬,水深火热
水脚,水费
水渠,沟渠
顺服,顺从制服
顺遂,顺利
说长道短,说三道四
说三道四,说长道短
司库,管库
私见,偏见
私意,私衷
私衷,私意
死而复活,死去活来
死后,身后
死去活来,死而复活
四六文,骈体文
四序,四季
伺隙,俟机
俟机,伺隙
讼事,官司
送还,归还
素不相识,素昧生平
素交,故旧
素性,生性
素愿,素志
素志,素愿
速率,速度
随侍,陪侍
外祸,外患
纨 子弟,公子王孙
王法,国法
王谢,望族
网络,收集
忘形,失态
望见,瞥见
望眼将穿,望穿秋水
危急,危机
委顿,疲劳
委果,委的
委宛,宛转
未可厚非,无可非议
未亡人,寡妇
文移,公牍
闻风而逃,闻风而动
刎颈交,生死之交
握别,告别
无意偶尔,偶然
五十步笑百步,龟笑鳖无尾
误事出事,失事
